date,price,open,high,low,change
"Aug 06, 2021",2606.33,2606.33,2606.33,2606.33,-0.0009
"Aug 05, 2021",2608.55,2608.55,2608.55,2608.55,0.0004
"Aug 04, 2021",2607.6,2607.6,2607.6,2607.6,0.0002
"Aug 03, 2021",2607.1,2607.1,2607.1,2607.1,0.0004
"Aug 02, 2021",2606.13,2606.13,2606.13,2606.13,0.0004
"Jul 30, 2021",2605.2,2605.2,2605.2,2605.2,0.0001
"Jul 29, 2021",2604.9,2604.9,2604.9,2604.9,0.0002
"Jul 28, 2021",2604.45,2604.45,2604.45,2604.45,0.0003
"Jul 27, 2021",2603.74,2603.74,2603.74,2603.74,0.0005
"Jul 26, 2021",2602.36,2602.36,2602.36,2602.36,0.0007
"Jul 23, 2021",2600.46,2600.46,2600.46,2600.46,0
"Jul 22, 2021",2600.48,2600.48,2600.48,2600.48,-0.0001
"Jul 20, 2021",2600.8,2600.8,2600.8,2600.8,0.0008
"Jul 19, 2021",2598.85,2598.85,2598.85,2598.85,0.0003
"Jul 16, 2021",2597.98,2597.98,2597.98,2597.98,0.0011
"Jul 15, 2021",2595.21,2595.21,2595.21,2595.21,0.0005
"Jul 14, 2021",2594.03,2594.03,2594.03,2594.03,0
"Jul 13, 2021",2593.91,2593.91,2593.91,2593.91,0.0009
"Jul 12, 2021",2591.64,2591.64,2591.64,2591.64,-0.0003
"Jul 09, 2021",2592.39,2592.39,2592.39,2592.39,0.0001
"Jul 08, 2021",2592.04,2592.04,2592.04,2592.04,0.0012
"Jul 07, 2021",2588.84,2588.84,2588.84,2588.84,0.0006
"Jul 06, 2021",2587.2,2587.2,2587.2,2587.2,-0.0008
"Jul 05, 2021",2589.14,2589.14,2589.14,2589.14,0.0008
"Jul 02, 2021",2587.16,2587.16,2587.16,2587.16,-0.0003
"Jul 01, 2021",2587.92,2587.92,2587.92,2587.92,0.0002
"Jun 30, 2021",2587.51,2587.51,2587.51,2587.51,-0.0002
"Jun 29, 2021",2588.03,2588.03,2588.03,2588.03,0.0001
"Jun 28, 2021",2587.64,2587.64,2587.64,2587.64,-0.0002
"Jun 25, 2021",2588.2,2588.2,2588.2,2588.2,-0.0004
"Jun 24, 2021",2589.28,2589.28,2589.28,2589.28,0.0002
"Jun 23, 2021",2588.77,2588.77,2588.77,2588.77,0
"Jun 22, 2021",2588.75,2588.75,2588.75,2588.75,-0.0008
"Jun 21, 2021",2590.7,2590.7,2590.7,2590.7,0.0005
"Jun 18, 2021",2589.52,2589.52,2589.52,2589.52,0.0005
"Jun 17, 2021",2588.17,2588.17,2588.17,2588.17,-0.0002
"Jun 16, 2021",2588.68,2588.68,2588.68,2588.68,-0.0013
"Jun 15, 2021",2592.12,2592.12,2592.12,2592.12,-0.0011
"Jun 14, 2021",2595.04,2595.04,2595.04,2595.04,0.0003
"Jun 11, 2021",2594.32,2594.32,2594.32,2594.32,0.0004
"Jun 10, 2021",2593.28,2593.28,2593.28,2593.28,0.0005
"Jun 09, 2021",2592.07,2592.07,2592.07,2592.07,0.0008
"Jun 08, 2021",2589.97,2589.97,2589.97,2589.97,-0.0002
"Jun 07, 2021",2590.52,2590.52,2590.52,2590.52,0.0008
"Jun 04, 2021",2588.49,2588.49,2588.49,2588.49,0.0003
"Jun 03, 2021",2587.75,2587.75,2587.75,2587.75,0.0004
"Jun 02, 2021",2586.75,2586.75,2586.75,2586.75,0.0003
"Jun 01, 2021",2586.07,2586.07,2586.07,2586.07,-0.0002
"May 31, 2021",2586.58,2586.58,2586.58,2586.58,0.0004
"May 28, 2021",2585.63,2585.63,2585.63,2585.63,-0.0001
"May 27, 2021",2585.83,2585.83,2585.83,2585.83,0.001
"May 25, 2021",2583.32,2583.32,2583.32,2583.32,0.0001
"May 24, 2021",2582.94,2582.94,2582.94,2582.94,0.0003
"May 21, 2021",2582.24,2582.24,2582.24,2582.24,0.0003
"May 20, 2021",2581.38,2581.38,2581.38,2581.38,-0.0003
"May 19, 2021",2582.16,2582.16,2582.16,2582.16,0.0015
"May 18, 2021",2578.31,2578.31,2578.31,2578.31,0.0002
"May 17, 2021",2577.73,2577.73,2577.73,2577.73,-0.0004
"May 14, 2021",2578.7,2578.7,2578.7,2578.7,0.0003
"May 12, 2021",2577.96,2577.96,2577.96,2577.96,-0.0003
"May 11, 2021",2578.85,2578.85,2578.85,2578.85,0.0011
"May 10, 2021",2576.03,2576.03,2576.03,2576.03,0.0005
"May 07, 2021",2574.83,2574.83,2574.83,2574.83,0
"May 06, 2021",2574.82,2574.82,2574.82,2574.82,-0.0005
"May 05, 2021",2576.21,2576.21,2576.21,2576.21,0.0003
"May 04, 2021",2575.45,2575.45,2575.45,2575.45,-0.0001
"May 03, 2021",2575.65,2575.65,2575.65,2575.65,0.0008
"Apr 30, 2021",2573.53,2573.53,2573.53,2573.53,0.0006
"Apr 29, 2021",2572,2572,2572,2572,0.0001
"Apr 28, 2021",2571.8,2571.8,2571.8,2571.8,0.0003
"Apr 27, 2021",2571.15,2571.15,2571.15,2571.15,0.0011
"Apr 26, 2021",2568.28,2568.28,2568.28,2568.28,0.0011
"Apr 23, 2021",2565.43,2565.43,2565.43,2565.43,0.0002
