date,price,open,high,low,vol,change
05-08-2008,118.19,109.78,119.23,109.56,20.86M,0.07
04-08-2008,110.63,110.77,113.19,109.29,10.06M,0.00
01-08-2008,110.58,109.23,112.25,102.4,30.69M,0.01
31-07-2008,109.57,109.76,112.63,105.59,18.04M,0.00
30-07-2008,109.16,104.77,110.25,104.27,18.12M,0.06
29-07-2008,102.7,111.72,111.72,100.08,24.74M,-0.09
28-07-2008,112.47,112.39,115.21,110.75,14.88M,0.00
25-07-2008,112.39,115.06,119.2,111.55,20.06M,-0.07
24-07-2008,121.12,124.12,124.62,118.29,13.23M,0.01
23-07-2008,120.19,113.3,121.23,113.3,23.78M,0.09
22-07-2008,109.89,106.77,117.24,106.77,22.57M,0.02
21-07-2008,108.13,104.77,109.15,104.29,12.37M,0.05
18-07-2008,103.22,97.15,104.07,97.15,28.34M,0.08
17-07-2008,95.65,94.67,97.68,94.59,23.24M,0.06
16-07-2008,90.16,91.6,93.79,89.03,10.92M,-0.02
15-07-2008,91.61,101.75,101.75,90.99,18.56M,-0.11
14-07-2008,102.94,106.54,106.76,100.9,9.65M,-0.03
11-07-2008,106.54,104.27,107.26,103.28,10.52M,0.01
10-07-2008,105.19,104.77,107.41,102.9,13.10M,0.00
09-07-2008,105.59,102.67,106.45,99.81,23.31M,0.06
08-07-2008,99.95,99.78,102.74,95.79,12.08M,0.00
07-07-2008,100.32,99.78,104.77,99.41,13.96M,0.01
04-07-2008,99.81,98.4,100.48,98.09,14.02M,0.02
03-07-2008,98.23,101.57,101.77,94.29,17.02M,-0.04
02-07-2008,102.53,96.29,104.77,95.59,9.04M,0.06
01-07-2008,96.31,101.27,101.27,94.79,10.23M,-0.04
30-06-2008,100.52,100.78,101.31,99.28,6.71M,-0.01
27-06-2008,101.93,104.67,104.67,99.38,10.46M,-0.04
26-06-2008,105.81,107.85,109.64,103.78,13.99M,-0.01
25-06-2008,107.2,103.77,107.94,101.29,12.97M,0.01
24-06-2008,105.73,107.76,110.64,103.97,3.61M,-0.03
23-06-2008,109.31,107.26,111.74,107.26,7.43M,0.00
20-06-2008,109.58,111.95,113.55,109.01,6.49M,-0.02
19-06-2008,112.05,111.98,115.24,110.95,5.97M,-0.04
18-06-2008,116.58,122.93,122.93,115.98,10.74M,-0.04
17-06-2008,121.1,114.74,122.23,114.74,12.87M,0.06
16-06-2008,114.67,113.51,116.94,112.75,10.05M,0.02
13-06-2008,111.97,114.98,117.09,111.1,7.25M,-0.03
12-06-2008,115.9,115.37,117.22,111.88,12.34M,-0.03
11-06-2008,119.37,114.25,120.71,111.98,12.78M,0.06
10-06-2008,112.98,116.74,119.22,111.75,15.58M,-0.04
09-06-2008,118.1,119.73,119.74,115.64,5.56M,-0.04
06-06-2008,122.97,124.72,127.21,121.53,10.00M,-0.01
05-06-2008,124.54,121.73,128.7,117.78,10.62M,0.03
04-06-2008,121.23,126.72,126.72,119.34,4.84M,-0.04
03-06-2008,126.36,130.71,130.71,124.37,5.20M,-0.03
02-06-2008,130.76,137.69,137.69,129.11,4.91M,-0.04
30-05-2008,136.57,129.81,137.98,129.81,6.58M,0.04
29-05-2008,131.66,136.2,137.17,130.11,6.42M,-0.02
28-05-2008,134.83,133.17,135.76,131.41,4.13M,0.01
27-05-2008,132.97,136.19,136.7,131.61,6.28M,-0.01
26-05-2008,134.46,136.7,137.84,133.3,3.91M,-0.02
23-05-2008,137.84,140.49,140.77,136.91,6.64M,0.00
22-05-2008,138.07,140.49,140.49,134.8,5.13M,-0.02
21-05-2008,140.69,144.69,144.69,138.94,14.46M,-0.04
20-05-2008,145.8,149.67,150.17,144.68,6.31M,-0.03
16-05-2008,149.71,150.66,152.43,148.87,4.91M,0.01
15-05-2008,147.52,144.91,148.34,144.91,2.32M,0.01
14-05-2008,146.15,146.17,147.14,144.68,6.03M,-0.01
