date,price,open,high,low,vol,change
09-05-2022,183.05,185.95,185.95,181.55,10.55M,-0.02
06-05-2022,187.4,184.5,188.95,183.05,14.26M,0.01
05-05-2022,185.85,189.5,191.95,184.7,12.65M,-0.01
04-05-2022,187.35,188.75,190.7,186.5,18.24M,0.00
02-05-2022,187.65,182.7,188.9,178.85,21.29M,0.03
29-04-2022,182.85,192.5,193,181.9,21.65M,-0.04
28-04-2022,190.25,189,192.5,187.15,12.71M,0.01
27-04-2022,187.5,190.8,191.8,186.6,12.21M,-0.02
26-04-2022,191.4,192.2,192.3,188.45,20.82M,0.02
25-04-2022,188.45,199.65,202.2,186.75,26.47M,-0.07
22-04-2022,202.15,206.05,209,201.25,24.01M,-0.02
21-04-2022,206.9,201.2,207.9,201,43.68M,0.04
20-04-2022,199.1,199.95,205.55,197.1,38.36M,0.01
19-04-2022,197.75,191.45,203.25,190.65,59.34M,0.04
18-04-2022,189.45,186.6,190.9,184.6,13.05M,0.02
13-04-2022,186.6,188,191.3,185.7,14.22M,0.00
12-04-2022,186,195.75,195.75,184.3,18.91M,-0.05
11-04-2022,196.4,194.5,198,193.35,12.39M,0.01
08-04-2022,194.55,194.7,198.8,192.35,20.15M,0.02
07-04-2022,190.75,195,197.05,189.9,21.71M,-0.02
06-04-2022,193.85,188.7,197,188.3,46.16M,0.03
05-04-2022,187.9,188,188.95,186.85,7.64M,0.00
04-04-2022,187.75,185.5,189,184.6,9.49M,0.01
01-04-2022,186.15,183.8,187.25,183.3,13.51M,0.02
31-03-2022,183.05,184.15,184.9,181.65,9.44M,0.00
30-03-2022,182.9,187.95,187.95,182,10.30M,-0.02
29-03-2022,186,192,192.2,185.5,10.62M,-0.03
28-03-2022,191.25,186.1,193.7,185.5,19.13M,0.03
25-03-2022,186.1,187.4,188.9,184.6,10.04M,-0.01
24-03-2022,187.4,183.7,188.5,183.3,16.32M,0.02
23-03-2022,183.05,182.6,184.25,179.3,13.73M,0.00
22-03-2022,183.35,183.65,185.8,180.5,12.37M,0.01
21-03-2022,182.3,177.85,186.35,177.5,20.27M,0.03
17-03-2022,176.55,179,180,175.5,20.05M,0.00
16-03-2022,176.9,173,177.8,172.9,11.85M,0.02
15-03-2022,172.9,179.9,180,171.5,14.07M,-0.04
14-03-2022,180.35,181,182.15,177.85,8.31M,-0.01
11-03-2022,181.75,181,182.5,179.25,14.66M,0.02
10-03-2022,178.95,184,184,177.05,30.89M,-0.04
09-03-2022,186.65,190,190.6,185.6,13.87M,-0.01
08-03-2022,189.15,189,191.7,186.6,22.94M,0.00
07-03-2022,188.7,185.95,192,181.7,41.64M,0.04
04-03-2022,181,188.95,191,180.5,36.10M,-0.04
03-03-2022,188.95,189.6,197.75,186.85,74.05M,0.02
02-03-2022,184.8,171,185.65,171,72.65M,0.09
28-02-2022,169.55,162.45,169.95,160.55,20.87M,0.04
25-02-2022,163.45,152.25,164.9,152.25,17.08M,0.09
24-02-2022,150,154,156.8,149,12.12M,-0.05
23-02-2022,158.5,160.35,162.3,158.2,7.63M,-0.01
22-02-2022,159.9,159.5,160.65,155.5,11.65M,-0.01
21-02-2022,161.2,163.15,163.5,159.85,14.87M,-0.04
18-02-2022,167.3,163,168.25,162.6,23.74M,0.03
17-02-2022,163.05,164.7,165.5,162.7,6.91M,0.00
16-02-2022,163.85,165.25,166,162.8,10.65M,0.00
15-02-2022,163.65,162.75,164.85,159.85,16.85M,0.01
14-02-2022,161.65,166.1,166.25,161.15,9.48M,-0.03
11-02-2022,166.5,167.95,169.3,165.2,10.10M,-0.01
10-02-2022,168.05,169,170.3,165,17.72M,0.00
09-02-2022,168.6,160.5,169.35,160,35.08M,0.05
08-02-2022,159.95,161.85,162.5,158.35,14.16M,-0.01
07-02-2022,160.95,160.65,163,159.65,5.87M,0.00
04-02-2022,160.4,161.3,162.8,160,6.40M,-0.01
03-02-2022,161.3,163.1,164.15,160.6,4.65M,-0.02
02-02-2022,163.85,163,164.6,162.25,5.37M,0.00
01-02-2022,163.05,162,163.45,158.6,7.25M,0.02
31-01-2022,159.8,163.4,163.4,159.15,5.81M,-0.01
28-01-2022,161.65,160.6,165,160.6,10.31M,0.01
27-01-2022,160.55,158.9,161.3,158,9.27M,0.00
25-01-2022,161.15,155,161.6,154.3,7.27M,0.03
24-01-2022,156.3,158.2,160.4,154.8,10.85M,-0.02
21-01-2022,158.75,163.3,163.3,157.5,14.47M,-0.04
20-01-2022,165.05,164.5,168.25,163.85,17.46M,0.01
19-01-2022,163.9,161,164.85,160.8,11.50M,0.02
18-01-2022,160.8,164,165.5,160.3,6.57M,-0.02
17-01-2022,163.7,165.6,166.1,162.05,8.38M,-0.01
14-01-2022,164.75,164.75,166.15,163.25,10.21M,0.00
13-01-2022,164.75,159.35,166.45,159,20.27M,0.03
12-01-2022,159.35,160.4,160.75,158.5,6.33M,0.01
11-01-2022,158.55,160.65,160.65,158.1,7.67M,-0.01
10-01-2022,160.7,157.8,161,157.05,14.66M,0.02
07-01-2022,156.95,155,157.45,154.95,11.68M,0.01
06-01-2022,154.65,154.5,155.25,153.05,12.45M,0.01
